"","Codigo_IBGE","Sigla_Estado","cidade","longitude","latitude","Data","Total_Exames","Total_positivos","Indice_Positividade"
"990","4126256","PR","Sarandi",-51.876,-23.4441,2020-03-11,3,0,0
"991","4126603","PR","Siqueira Campos",-49.8304,-23.6875,2020-03-11,1,0,0
"992","4127700","PR","Toledo",-53.7412,-24.7246,2020-03-11,184,118,64.1304347826087
"993","4128104","PR","Umuarama",-53.3201,-23.7656,2020-03-11,30,3,10
"994","4202404","SC","Blumenau",-49.0709,-26.9155,2020-03-11,460,57,12.3913043478261
"995","4202800","SC","Braço do Norte",-49.1701,-28.2681,2020-03-11,1,0,0
"996","4202909","SC","Brusque",-48.9107,-27.0977,2020-03-11,163,19,11.6564417177914
"997","4203006","SC","Caçador",-51.012,-26.7757,2020-03-11,21,3,14.2857142857143
"998","4203808","SC","Canoinhas",-50.395,-26.1766,2020-03-11,22,0,0
"999","4204202","SC","Chapecó",-52.6152,-27.1004,2020-03-11,86,12,13.953488372093
"1000","4204301","SC","Concórdia",-52.026,-27.2335,2020-03-11,99,28,28.2828282828283
"1001","4204608","SC","Criciúma",-49.3729,-28.6723,2020-03-11,86,31,36.046511627907
"1002","4207502","SC","Indaial",-49.2354,-26.8992,2020-03-11,2,0,0
"1003","4208203","SC","Itajaí",-48.6705,-26.9101,2020-03-11,17,3,17.6470588235294
"1004","4208302","SC","Itapema",-48.616,-27.0861,2020-03-11,93,7,7.52688172043011
"1005","4208708","SC","Jacinto Machado",-49.7623,-28.9961,2020-03-11,15,2,13.3333333333333
"1006","4208906","SC","Jaraguá do Sul",-49.0713,-26.4851,2020-03-11,110,12,10.9090909090909
"1007","4209003","SC","Joaçaba",-51.5108,-27.1721,2020-03-11,81,9,11.1111111111111
"1008","4209102","SC","Joinville",-48.8487,-26.3045,2020-03-11,59,17,28.8135593220339
"1009","4209300","SC","Lages",-50.3259,-27.815,2020-03-11,1,0,0
"1010","4210100","SC","Mafra",-49.8086,-26.1159,2020-03-11,18,0,0
"1011","4210506","SC","Maravilha",-53.1737,-26.7665,2020-03-11,6,0,0
"1012","4211504","SC","Nova Trento",-48.9298,-27.278,2020-03-11,13,1,7.69230769230769
"1013","4211900","SC","Palhoça",-48.6697,-27.6455,2020-03-11,1,0,0
"1014","4212106","SC","Palmitos",-53.1586,-27.0702,2020-03-11,2,0,0
"1015","4214805","SC","Rio do Sul",-49.643,-27.2156,2020-03-11,116,23,19.8275862068966
"1016","4217204","SC","São Miguel do Oeste",-53.5163,-26.7242,2020-03-11,2,0,0
"1017","4219507","SC","Xanxerê",-52.4036,-26.8747,2020-03-11,9,4,44.4444444444444
"1018","4300109","RS","Agudo",-53.2515,-29.6447,2020-03-11,1,0,0
"1019","4300802","RS","Antônio Prado",-51.2883,-28.8565,2020-03-11,25,1,4
"1020","4301206","RS","Arroio do Tigre",-53.0966,-29.3348,2020-03-11,14,0,0
"1021","4301602","RS","Bagé",-54.0999,-31.3297,2020-03-11,4,1,25
"1022","4301800","RS","Barracão",-51.4585,-27.6739,2020-03-11,1,0,0
"1023","4302105","RS","Bento Gonçalves",-51.5165,-29.1662,2020-03-11,12,0,0
"1024","4302204","RS","Boa Vista do Buricá",-54.1082,-27.6693,2020-03-11,1,0,0
